Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : sampleAfterTestCase,,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.003s,PASSED
,,,,,,,
Test Cases/AuthorsApiTests/GetAuthorsByBookId,,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.084s,PASSED
Start listener action : sampleBeforeTestCase,,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.004s,ERROR
idBook = 1,,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.000s,PASSED
"request = findTestObject(""AuthorsApi/GetAuthorsByBook"")",,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.002s,PASSED
"request.setRestUrl(""https://fakerestapi.azurewebsites.net/api/v1/Authors/authors/books/"" + idBook)",,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.001s,PASSED
response = sendRequest(request),,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.046s,PASSED
"verifyResponseStatusCode(response, 200)",,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.001s,PASSED
jsonResponse = JsonSlurper().parseText(response.getResponseText()),,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.000s,PASSED
assert jsonResponse.size() > 0,,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.001s,PASSED
"verifyElementPropertyValue(response, ""[0].idBook"", idBook)",,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.008s,PASSED
Start listener action : sampleAfterTestCase,,,,10-03-2025 12:38:34,10-03-2025 12:38:34,0.003s,PASSED
